variant,delay_months,year,demand_total_t,demand_critical_t,served_total_t,served_critical_t,service_level_total,service_level_critical,shortage_total_t,shortage_critical_t,opening_t,closing_t,planned_inflow_t,throughput_t,losses_t,loss_ratio,reserve_required_t,reserve_ok,average_stock_t,storage_mode_end,storage_capacity_end_t,emergency_share_of_demand,balance_residual_t
guarded_calendar,3,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,39.52492260000015,48.1550634000002,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,True,43.839993000000185,ZBO,120.0,0.0,-7.105427357601002e-14
guarded_calendar,3,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,48.1550634000002,48.155120600000316,394.7369,394.7369,4.7368428,0.012,48.082191780821915,True,48.15509200000025,ZBO,120.0,0.0,-1.1368683772161603e-13
without_measure,6,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
without_measure,6,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
without_measure,6,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,24.524878800000067,196.5941,196.5941,5.4941292,0.027946561977190566,23.424657534246574,True,21.56240070000008,ZBO,120.0,0.0,0.0
without_measure,6,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,24.524878800000067,33.155022000000145,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,False,28.839950400000102,ZBO,120.0,0.0,-5.684341886080802e-14
without_measure,6,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,33.155022000000145,41.785162800000194,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,False,37.47009240000017,ZBO,120.0,0.0,-5.684341886080802e-14
without_measure,6,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,41.785162800000194,41.78522000000032,394.7369,394.7369,4.7368428,0.012,48.082191780821915,False,41.78519140000026,ZBO,120.0,0.0,-1.1368683772161603e-13
physical_stock,6,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
physical_stock,6,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
physical_stock,6,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,27.725406000000064,199.83350000000002,199.83350000000002,5.533002000000001,0.02768806031020825,23.424657534246574,True,22.362532500000075,ZBO,120.0,0.0,1.4210854715202004e-14
physical_stock,6,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,27.725406000000064,36.35554920000014,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,False,32.0404776000001,ZBO,120.0,0.0,-4.263256414560601e-14
