variant,demand_direction,isru_direction,pass_radius,fail_radius,demand_fail,isru_reduction_fail,first_rule,first_year,first_month,actual,limit,excess
early_zbo,0.0,1.0,0.05920918227002403,0.059209182270933525,0.0,0.059209182270933525,RESERVE_45D,2040,1,55.29451954786617,55.2945205479452,1.000079024038314e-06
early_zbo_plus_stock,1.0,0.0,0.012074503113581159,0.012074503114490653,0.012074503114490653,0.0,RESERVE_45D,2040,1,55.96217340845132,55.96217440851564,1.0000643158036837e-06
early_zbo_plus_stock,1.0,0.25,0.011495286914396274,0.011495286915305769,0.011495286915305769,0.0028738217288264423,RESERVE_45D,2040,1,55.93014592614584,55.9301469264881,1.000342258805631e-06
early_zbo_plus_stock,1.0,0.5,0.010969097244014847,0.010969097244924342,0.010969097244924342,0.005484548622462171,RESERVE_45D,2040,1,55.901050520298156,55.90105152094708,1.0006489219449577e-06
early_zbo_plus_stock,1.0,0.75,0.010488971061022312,0.010488971061931807,0.010488971061931807,0.007866728296448855,RESERVE_45D,2040,1,55.87450217315447,55.87450317385599,1.000701523423686e-06
early_zbo_plus_stock,1.0,1.0,0.010049113311652036,0.01004911331256153,0.01004911331256153,0.01004911331256153,RESERVE_45D,2040,1,55.85018045045858,55.850181450495256,1.0000366756912626e-06
early_zbo_plus_stock,0.75,1.0,0.012689311608482967,0.012689311609392462,0.009516983707044346,0.012689311609392462,RESERVE_45D,2040,1,55.82075659887104,55.82075759908882,1.0002177788237532e-06
early_zbo_plus_stock,0.5,1.0,0.01721120163165324,0.017211201632562734,0.008605600816281367,0.017211201632562734,RESERVE_45D,2040,1,55.77036211904688,55.77036311910849,1.0000616086358605e-06
early_zbo_plus_stock,0.25,1.0,0.026740177225292427,0.026740177226201922,0.0066850443065504805,0.026740177226201922,RESERVE_45D,2040,1,55.664165867630814,55.66416686771768,1.0000868684301167e-06
early_zbo_plus_stock,0.0,1.0,0.0599084926143405,0.05990849261525,0.0,0.05990849261525,RESERVE_45D,2040,1,55.294519547939274,55.2945205479452,1.000005923401659e-06
