scenario_id,plan_id,year,month,storage_mode,storage_capacity_t,loss_rate,opening_t,planned_inflow_t,throughput_t,losses_t,available_t,demand_t,critical_demand_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,holding_cost_mln,inflow_A_t
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,5,BASE,70.000000,0.045000,19.818426,13.545875,13.545875,0.609564,32.754736,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,20.088070,1.197195,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,6,BASE,70.000000,0.045000,20.088070,13.545875,13.545875,0.609564,33.024380,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,20.357714,1.213374,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,7,ZBO,120.000000,0.012000,20.357714,13.545875,13.545875,0.162551,33.741038,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,21.074372,1.242963,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,8,ZBO,120.000000,0.012000,21.074372,13.545875,13.545875,0.162551,34.457696,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,21.791029,1.285962,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,9,ZBO,120.000000,0.012000,21.791029,13.545875,13.545875,0.162551,35.174354,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,22.507687,1.328962,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,10,ZBO,120.000000,0.012000,22.507687,13.545875,13.545875,0.162551,35.891012,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,23.224345,1.371961,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,11,ZBO,120.000000,0.012000,23.224345,13.545875,13.545875,0.162551,36.607670,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,23.941003,1.414960,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,12,ZBO,120.000000,0.012000,23.941003,13.545875,13.545875,0.162551,37.324327,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,24.657661,1.457960,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,1,ZBO,120.000000,0.012000,24.657661,9.118100,9.118100,0.109417,33.666344,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,16.999677,1.249720,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,2,ZBO,120.000000,0.012000,16.999677,9.118100,9.118100,0.109417,26.008360,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,9.341693,0.790241,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,3,ZBO,120.000000,0.012000,9.341693,19.118100,19.118100,0.229417,28.230376,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,11.563709,0.627162,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,4,ZBO,120.000000,0.012000,11.563709,19.118100,19.118100,0.229417,30.452392,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,13.785725,0.760483,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,5,ZBO,120.000000,0.012000,13.785725,19.118100,19.118100,0.229417,32.674408,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,16.007741,0.893804,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,6,ZBO,120.000000,0.012000,16.007741,19.118100,19.118100,0.229417,34.896424,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,18.229758,1.027125,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,7,ZBO,120.000000,0.012000,18.229758,19.118100,19.118100,0.229417,37.118440,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,20.451774,1.160446,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,8,ZBO,120.000000,0.012000,20.451774,19.118100,19.118100,0.229417,39.340456,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,22.673790,1.293767,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,9,ZBO,120.000000,0.012000,22.673790,19.118100,19.118100,0.229417,41.562473,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,24.895806,1.427088,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,10,ZBO,120.000000,0.012000,24.895806,19.118100,19.118100,0.229417,43.784489,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,27.117822,1.560409,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,11,ZBO,120.000000,0.012000,27.117822,19.118100,19.118100,0.229417,46.006505,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,29.339838,1.693730,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2038,12,ZBO,120.000000,0.012000,29.339838,19.118100,19.118100,0.229417,48.228521,16.666667,11.333333,16.666667,11.333333,0.000000,0.000000,31.561854,1.827051,9.118100
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,1,ZBO,120.000000,0.012000,31.561854,22.174775,22.174775,0.266097,53.470532,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,32.137199,1.910972,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,2,ZBO,120.000000,0.012000,32.137199,22.174775,22.174775,0.266097,54.045876,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,32.712543,1.945492,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,3,ZBO,120.000000,0.012000,32.712543,22.174775,22.174775,0.266097,54.621221,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,33.287887,1.980013,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,4,ZBO,120.000000,0.012000,33.287887,22.174775,22.174775,0.266097,55.196565,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,33.863232,2.014534,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,5,ZBO,120.000000,0.012000,33.863232,22.174775,22.174775,0.266097,55.771910,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,34.438576,2.049054,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,6,ZBO,120.000000,0.012000,34.438576,22.174775,22.174775,0.266097,56.347254,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,35.013921,2.083575,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,7,ZBO,120.000000,0.012000,35.013921,22.174775,22.174775,0.266097,56.922598,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,35.589265,2.118096,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,8,ZBO,120.000000,0.012000,35.589265,22.174775,22.174775,0.266097,57.497943,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,36.164609,2.152616,12.174775
