scenario_id,plan_id,year,month,storage_mode,storage_capacity_t,loss_rate,opening_t,planned_inflow_t,throughput_t,losses_t,available_t,demand_t,critical_demand_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,holding_cost_mln,inflow_A_t
TEAM_HIGH_DEMAND,P4_full,2036,11,BASE,70.000000,0.045000,0.730830,12.754317,12.754317,0.573944,12.911202,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,0.077869,0.024261,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,12,BASE,70.000000,0.045000,0.077869,12.754317,12.754317,0.573944,12.258241,12.833333,9.625000,12.258241,9.625000,0.575092,0.000000,0.000000,0.002336,12.754317
TEAM_HIGH_DEMAND,P4_full,2037,1,BASE,70.000000,0.045000,0.000000,16.932350,16.932350,0.761956,16.170394,17.416667,12.375000,16.170394,12.375000,1.246272,0.000000,0.000000,0.000000,15.833333
TEAM_HIGH_DEMAND,P4_full,2037,2,BASE,70.000000,0.045000,0.000000,16.932350,16.932350,0.761956,16.170394,17.416667,12.375000,16.170394,12.375000,1.246272,0.000000,0.000000,0.000000,15.833333
TEAM_HIGH_DEMAND,P4_full,2037,3,BASE,70.000000,0.045000,0.000000,16.932350,16.932350,0.761956,16.170394,17.416667,12.375000,16.170394,12.375000,1.246272,0.000000,0.000000,0.000000,15.833333
TEAM_HIGH_DEMAND,P4_full,2037,4,BASE,70.000000,0.045000,0.000000,16.932350,16.932350,0.761956,16.170394,17.416667,12.375000,16.170394,12.375000,1.246272,0.000000,0.000000,0.000000,15.833333
TEAM_HIGH_DEMAND,P4_full,2037,5,BASE,70.000000,0.045000,0.000000,16.932350,16.932350,0.761956,16.170394,17.416667,12.375000,16.170394,12.375000,1.246272,0.000000,0.000000,0.000000,15.833333
TEAM_HIGH_DEMAND,P4_full,2037,6,BASE,70.000000,0.045000,0.000000,16.932350,16.932350,0.761956,16.170394,17.416667,12.375000,16.170394,12.375000,1.246272,0.000000,0.000000,0.000000,15.833333
TEAM_HIGH_DEMAND,P4_full,2037,7,ZBO,120.000000,0.012000,0.000000,16.932350,16.932350,0.203188,16.729162,17.416667,12.375000,16.729162,12.375000,0.687505,0.000000,0.000000,0.000000,15.833333
TEAM_HIGH_DEMAND,P4_full,2037,8,ZBO,120.000000,0.012000,0.000000,16.932350,16.932350,0.203188,16.729162,17.416667,12.375000,16.729162,12.375000,0.687505,0.000000,0.000000,0.000000,15.833333
